pago_id;run_socio_titular;nombre_socio_titular;anio_membresia;mes_cuota;fecha_vencimiento;monto_membresia;monto_adicionales;monto_total;estado_pago;fecha_pago;medio_pago;registro_incorrecto;tipo_error
100;15182198-7;Patricia Duarte Espinoza;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;tarjeta;NO;
101;15182198-7;Patricia Duarte Espinoza;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;NO;
102;15182198-7;Patricia Duarte Espinoza;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
103;15182198-7;Patricia Duarte Espinoza;2025;7;5/7/25;25000;0;25000;pagado;2/7/25;transferencia;NO;
104;15182198-7;Patricia Duarte Espinoza;2025;8;5/8/25;25000;5000;30000;pagado;5/8/25;tarjeta;NO;
105;15182198-7;Patricia Duarte Espinoza;2025;9;5/9/25;25000;12000;37000;pagado;1/9/25;transferencia;NO;
106;15182198-7;Patricia Duarte Espinoza;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
107;15182198-7;Patricia Duarte Espinoza;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
108;15182198-7;Patricia Duarte Espinoza;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
109;9848362-5;Ignacio Quezada Henriquez;2025;1;5/1/25;25000;0;25000;pagado;3/1/25;tarjeta;NO;
110;9848362-5;Ignacio Quezada Henriquez;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
111;9848362-5;Ignacio Quezada Henriquez;2025;3;5/3/25;25000;12000;37000;pagado;5/3/25;tarjeta;NO;
112;9848362-5;Ignacio Quezada Henriquez;2025;4;5/4/25;25000;5000;30000;pagado;2/4/25;transferencia;NO;
113;9848362-5;Ignacio Quezada Henriquez;2025;5;5/5/25;25000;0;25000;pagado;4/5/25;tarjeta;NO;
114;9848362-5;Ignacio Quezada Henriquez;2025;6;5/6/25;25000;5000;30000;pagado;1/6/25;transferencia;NO;
115;9848362-5;Ignacio Quezada Henriquez;2025;7;5/7/25;25000;0;25000;pagado;5/7/25;tarjeta;NO;
116;9848362-5;Ignacio Quezada Henriquez;2025;8;5/8/25;25000;5000;30000;pagado;3/8/25;transferencia;NO;
117;9848362-5;Ignacio Quezada Henriquez;2025;9;5/9/25;25000;12000;37000;pagado;5/9/25;tarjeta;NO;
118;9848362-5;Ignacio Quezada Henriquez;2025;10;5/10/25;25000;5000;30000;pagado;1/10/25;transferencia;NO;
119;9848362-5;Ignacio Quezada Henriquez;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
120;9848362-5;Ignacio Quezada Henriquez;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
121;17608709-0;Helena Jara Duarte;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
122;17608709-0;Helena Jara Duarte;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
123;17608709-0;Helena Jara Duarte;2025;3;5/3/25;25000;12000;37000;pagado;3/3/25;transferencia;NO;
124;17608709-0;Helena Jara Duarte;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;tarjeta;NO;
125;17608709-0;Sofia Silva;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;SI;nombre_diferente
126;17608709-0;Helena Jara Duarte;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
127;17608709-0;Helena Jara Duarte;2025;7;5/7/25;25000;0;25000;pagado;2/7/25;transferencia;NO;
128;17608709-0;Helena Jara Duarte;2025;8;5/8/25;25000;5000;30000;pagado;5/8/25;tarjeta;NO;
129;17608709-0;Helena Jara Duarte;2025;9;5/9/25;25000;12000;37000;pagado;1/9/25;transferencia;NO;
130;17608709-0;Helena Jara Duarte;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
131;17608709-0;Helena Jara Duarte;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
132;17608709-0;Helena Jara Duarte;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
133;16804818-1;Loreto Alvarez Mendez;2025;1;5/1/25;25000;0;25000;pagado;3/1/25;tarjeta;NO;
134;16804818-1;Loreto Alvarez Mendez;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
135;16804818-1;Loreto Alvarez Mendez;2025;3;5/3/25;25000;12000;37000;pagado;5/3/25;tarjeta;NO;
136;16804818-1;Loreto Alvarez Mendez;2025;4;5/4/25;25000;5000;30000;pagado;2/4/25;transferencia;NO;
137;16804818-1;Loreto Alvarez Mendez;2025;5;5/5/25;25000;0;25000;pagado;4/5/25;tarjeta;NO;
138;16804818-1;Loreto Alvarez Mendez;2025;6;5/6/25;25000;5000;30000;pagado;1/6/25;transferencia;NO;
139;16804818-1;Loreto Alvarez Mendez;2025;7;5/7/25;25000;0;25000;pagado;5/7/25;tarjeta;NO;
140;16804818-1;Loreto Alvarez Mendez;2025;8;5/8/25;25000;5000;30000;pagado;3/8/25;transferencia;NO;
141;16804818-1;Loreto Alvarez Mendez;2025;9;5/9/25;25000;12000;37000;pagado;5/9/25;tarjeta;NO;
142;16804818-1;Loreto Alvarez Mendez;2025;10;5/10/25;25000;5000;30000;pagado;1/10/25;transferencia;NO;
143;16804818-1;Loreto Alvarez Mendez;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
144;16804818-1;Loreto Alvarez Mendez;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
145;5058856-4;Beatriz Alvarez Lagos;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
146;5058856-4;Beatriz Alvarez Lagos;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
147;5058856-4;Beatriz Alvarez Lagos;2025;3;5/3/25;25000;12000;37000;pagado;3/3/25;transferencia;NO;
148;5058856-4;Beatriz Alvarez Lagos;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;tarjeta;NO;
149;5058856-4;Beatriz Alvarez Lagos;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;NO;
150;5058856-4;Beatriz Alvarez Lagos;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
151;5058856-4;Beatriz Alvarez Lagos;2025;7;5/7/25;25000;0;25000;pagado;2/7/25;transferencia;NO;
152;5058856-4;Beatriz Alvarez Lagos;2025;8;5/8/25;25000;5000;30000;pagado;5/8/25;tarjeta;NO;
153;5058856-4;Beatriz Alvarez Lagos;2025;9;5/9/25;25000;12000;37000;pagado;1/9/25;transferencia;NO;
154;5058856-4;Beatriz Alvarez Lagos;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
155;5058856-4;Beatriz Alvarez Lagos;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
156;5058856-4;Beatriz Alvarez Lagos;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
157;12170069-7;Oscar Contreras Lagos;2025;1;5/1/25;25000;0;25000;pagado;3/1/25;tarjeta;NO;
158;12170069-7;Oscar Contreras Lagos;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
159;12170069-7;Oscar Contreras Lagos;2025;3;5/3/25;25000;12000;37000;pagado;5/3/25;tarjeta;NO;
160;12170069-7;Oscar Contreras Lagos;2025;4;5/4/25;25000;5000;30000;pagado;2/4/25;transferencia;NO;
161;12170069-7;Oscar Contreras Lagos;2025;5;5/5/25;25000;0;25000;pagado;4/5/25;tarjeta;NO;
162;12170069-7;Oscar Contreras Lagos;2025;6;5/6/25;25000;5000;30000;pagado;1/6/25;transferencia;NO;
163;12170069-7;Oscar Contreras Lagos;2025;7;5/7/25;25000;0;25000;pagado;5/7/25;tarjeta;NO;
164;12170069-7;Oscar Contreras Lagos;2025;8;5/8/25;25000;5000;30000;pagado;3/8/25;transferencia;NO;
165;12170069-7;Oscar Contreras Lagos;2025;9;5/9/25;25000;12000;37000;pagado;5/9/25;tarjeta;NO;
166;12170069-7;Oscar Contreras Lagos;2025;10;5/10/25;25000;5000;30000;pagado;1/10/25;transferencia;NO;
167;12170069-7;Oscar Contreras Lagos;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
168;12170069-7;Oscar Contreras Lagos;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
169;24692054-0;Loreto Duarte Quezada;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
170;24692054-0;Loreto Duarte Quezada;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
171;24692054-0;Loreto Duarte Quezada;2025;3;5/3/25;25000;12000;37000;pagado;3/3/25;transferencia;NO;
172;24692054-0;Loreto Duarte Quezada;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;tarjeta;NO;
173;24692054-0;Loreto Duarte Quezada;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;NO;
174;24692054-0;Loreto Duarte Quezada;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
175;24692054-0;Loreto Duarte Quezada;2025;7;5/7/25;25000;0;25000;pagado;2/7/25;transferencia;NO;
176;24692054-0;Loreto Duarte Quezada;2025;8;5/8/25;25000;5000;30000;pagado;5/8/25;tarjeta;NO;
177;24692054-0;Loreto Duarte Quezada;2025;9;5/9/25;25000;12000;37000;pagado;1/9/25;transferencia;NO;
178;24692054-0;Loreto Duarte Quezada;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
179;24692054-0;Loreto Duarte Quezada;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
180;24692054-0;Loreto Duarte Quezada;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
181;17862474-9;Patricia Barrera Pardo;2025;1;5/1/25;25000;0;25000;pagado;3/1/25;tarjeta;NO;
182;17862474-9;Patricia Barrera Pardo;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
183;17862474-9;Patricia Barrera Pardo;2025;3;5/3/25;25000;12000;37000;pagado;5/3/25;tarjeta;NO;
184;17862474-9;Patricia Barrera Pardo;2025;4;5/4/25;25000;5000;30000;pagado;2/4/25;transferencia;NO;
185;17862474-9;Patricia Barrera Pardo;2025;5;5/5/25;25000;0;25000;pagado;4/5/25;tarjeta;NO;
186;17862474-9;Patricia Barrera Pardo;2025;6;5/6/25;25000;5000;30000;pagado;1/6/25;transferencia;NO;
187;17862474-9;Patricia Barrera Pardo;2025;7;5/7/25;25000;0;25000;pagado;5/7/25;tarjeta;NO;
188;17862474-9;Patricia Barrera Pardo;2025;8;5/8/25;25000;5000;30000;pagado;3/8/25;transferencia;NO;
189;17862474-9;Patricia Barrera Pardo;2025;9;5/9/25;25000;12000;37000;pagado;5/9/25;tarjeta;NO;
190;17862474-9;Patricia Barrera Pardo;2025;10;5/10/25;25000;5000;30000;pagado;1/10/25;transferencia;NO;
191;17862474-9;Patricia Barrera Pardo;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
192;17862474-9;Patricia Barrera Pardo;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
193;16701421-6;Felicia Henriquez Nuñez;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
194;16701421-6;Felicia Henriquez Nuñez;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
195;16701421-6;Felicia Henriquez Nuñez;2025;3;5/3/25;25000;12000;37000;pagado;3/3/25;transferencia;NO;
196;16701421-6;Felicia Henriquez Nuñez;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;tarjeta;NO;
197;16701421-6;Felicia Henriquez Nuñez;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;NO;
198;16701421-6;Felicia Henriquez Nuñez;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
199;16701421-6;Felicia Henriquez Nuñez;2025;7;5/7/25;25000;0;25000;pagado;2/7/25;transferencia;NO;
200;16701421-6;Felicia Henriquez Nuñez;2025;8;5/8/25;25000;5000;30000;pagado;5/8/25;tarjeta;NO;
201;16701421-6;Felicia Henriquez Nuñez;2025;9;5/9/25;25000;12000;37000;pagado;1/9/25;transferencia;NO;
202;16701421-6;Felicia Henriquez Nuñez;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
203;16701421-6;Felicia Henriquez Nuñez;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
204;16701421-6;Felicia Henriquez Nuñez;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
205;22924363-2;Beatriz Jara Ortiz;2025;1;5/1/25;25000;0;25000;pagado;3/1/25;tarjeta;NO;
206;22924363-2;Beatriz Jara Ortiz;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
207;22924363-2;Beatriz Jara Ortiz;2025;3;5/3/25;25000;12000;37000;pagado;5/3/25;tarjeta;NO;
208;22924363-2;Beatriz Jara Ortiz;2025;4;5/4/25;25000;5000;30000;pagado;2/4/25;transferencia;NO;
209;22924363-2;Beatriz Jara Ortiz;2025;5;5/5/25;25000;0;25000;pagado;4/5/25;tarjeta;NO;
210;22924363-2;Beatriz Jara Ortiz;2025;6;5/6/25;25000;5000;30000;pagado;1/6/25;transferencia;NO;
211;22924363-2;Beatriz Jara Ortiz;2025;7;5/7/25;25000;0;25000;pagado;5/7/25;tarjeta;NO;
212;22924363-2;Beatriz Jara Ortiz;2025;8;5/8/25;25000;5000;30000;pagado;3/8/25;transferencia;NO;
213;22924363-2;Beatriz Jara Ortiz;2025;9;5/9/25;25000;12000;37000;pagado;5/9/25;tarjeta;NO;
214;22924363-2;Beatriz Jara Ortiz;2025;10;5/10/25;25000;5000;30000;pagado;1/10/25;transferencia;NO;
215;22924363-2;Beatriz Jara Ortiz;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
216;22924363-2;Beatriz Jara Ortiz;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
217;12620839-1;Patricia Quezada Iturra;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
218;12620839-1;Patricia Quezada Iturra;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
219;12620839-1;Patricia Quezada Iturra;2025;3;5/3/25;25000;12000;37000;pagado;3/3/25;transferencia;NO;
220;12620839-1;Patricia Quezada Iturra;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;tarjeta;NO;
221;12620839-1;Patricia Quezada Iturra;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;NO;
222;12620839-1;Patricia Quezada Iturra;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
223;12620839-1;Patricia Quezada Iturra;2025;7;5/7/25;25000;0;25000;pagado;2/7/25;transferencia;NO;
224;12620839-1;Patricia Quezada Iturra;2025;8;5/8/25;25000;5000;30000;pagado;5/8/25;tarjeta;NO;
225;12620839-1;Patricia Quezada Iturra;2025;9;5/9/25;25000;12000;37000;pagado;1/9/25;transferencia;NO;
226;12620839-1;Patricia Quezada Iturra;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
227;12620839-1;Patricia Quezada Iturra;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
