codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago;registro_incorrecto;tipo_error
;13/11/25;13/11/25 15:00;13/11/25 16:00;reservada;21156024-K;Maria Gonzalez;SI;Salon Eventos 3;Santa Cruz;100000;0;;8/11/25;NO;
;14/11/25;14/11/25 10:00;14/11/25 11:00;reservada;13098747-8;Ana Silva;NO;Salon Eventos 4;La Florida;100000;0;;11/11/25;NO;
;4/7/25;4/7/25;4/7/25 23:00;reservada;9680719-0;Ana Silva;SI;Salon Eventos 2;Santiago Centro;100000;0;;2/7/25;SI;rut/fecha
;14/1/25;14/1/25 11:00;14/1/25 12:00;reservada;9381544-0;Pedro Rojas;NO;Salon Eventos 2;La Florida;100000;0;;14/1/25;SI;
;14/6/25;14/6/25 11:00;14/6/25 12:00;reservada;7781298-9;Pedro Rojas;SI;Cancha Tenis Aire Libre;Santiago Centro;25000;0;;13/6/25;NO;
;02/01/25;02/01/25;04/01/25;ejecutada;18776636-2;Pedro Rojas;NO;Cabaña 1;Santiago Centro;240000;240000;efectivo;1/1/25;NO;
;15/7/25;15/7/25 8:00;15/7/25 9:00;reservada;16276138-2;Ana Silva;SI;Cancha Padel Aire Libre;Santa Cruz;25000;0;;11/7/25;NO;
;12/6/25;12/6/25 10:00;12/6/25 11:00;reservada;19020373-5;Juan Perez;NO;Piscina 1;Santiago Centro;20000;0;;7/6/25;NO;
;13/12/25;13/12/25;13/12/25 22:00;reservada;9487250-7;Ana Silva;NO;Piscina 1;Providencia;20000;0;;11/12/25;SI;rut/fecha
;13/01/25;13/01/25;19/01/25;reservada;20928234-8;Pedro Rojas;SI;Cabaña 5;Santa Cruz;720000;0;;9/1/25;NO;
;16/2/25;16/2/25 18:00;16/2/25 19:00;cancelada;9269949-8;Ana Silva;NO;Restaurant 1;Providencia;30000;0;;13/2/25;NO;
;10/4/25;10/4/25 16:00;10/4/25 17:00;reservada;6835621-0;Luis Contreras;NO;Restaurant 2;Santiago Centro;30000;0;;7/4/25;NO;
;14/5/25;14/5/25 21:00;14/5/25 22:00;ejecutada;19727843-9;Luis Contreras;SI;Cancha Basquetbol Aire Libre;Providencia;25000;25000;tarjeta;10/5/25;NO;
;09/10/25;09/10/25;10/10/25;reservada;21454860-7;Ana Silva;NO;Cabaña 19;La Florida;120000;0;;8/10/25;NO;
;08/09/25;08/09/25;11/09/25;reservada;17647891-8;Maria Gonzalez;SI;Cabaña 2;La Florida;360000;0;;5/9/25;NO;
;8/6/25;8/6/25 20:00;8/6/25 21:00;reservada;9087517-5;Pedro Rojas;NO;Cancha Tenis Techada;Santiago Centro;35000;0;;6/6/25;NO;
;14/11/25;14/11/25;22/11/25;ejecutada;17623443-1;Maria Gonzalez;SI;Cabaña 8;Providencia;960000;960000;efectivo;11/11/25;NO;
;07/12/25;07/12/25;14/12/25;ejecutada;20112516-2;Luis Contreras;NO;Cabaña 14;Santiago Centro;840000;840000;tarjeta;2/12/25;NO;
;13/10/25;13/10/25 19:00;13/10/25 20:00;cancelada;12192627-K;Pedro Rojas;NO;Salon Eventos 1;Santa Cruz;100000;0;;12/10/25;NO;
;14/03/25;14/03/25;23/03/25;ejecutada;20328291-5;Juan Perez;SI;Cabaña 4;Santa Cruz;1080000;1080000;efectivo;9/3/25;NO;
;15//25;15/05/25;19/05/25;reservada;9381544-0;Pedro Rojas;NO;Cabaña 11;La Florida;480000;0;;14/5/25;SI;fecha
;17/7/25;17/7/25 18:00;17/7/25 19:00;cancelada;13233936-8;Maria Gonzalez;NO;Piscina 1;Santiago Centro;20000;0;;16/7/25;NO;
;11/2/25;11/2/25 8:00;11/2/25 9:00;reservada;7989270-K;Maria Gonzalez;SI;Cancha Padel Techada;La Florida;35000;0;;11/2/25;NO;
;08/05/25;08/05/25;17/05/25;reservada;8267419-5;Pedro Rojas;SI;Cabaña 9;Providencia;1080000;0;;3/5/25;NO;
;17/01/25;17/01/25;21/01/25;ejecutada;22966221-K;Maria Gonzalez;SI;Cabaña 12;Santa Cruz;480000;480000;transferencia;17/1/25;NO;
;07/12/25;07/12/25;11/12/25;reservada;5779517-4;Luis Contreras;SI;Cabaña 5;Santa Cruz;480000;0;;4/12/25;NO;
;15/06/25;15/06/25;20/06/25;reservada;11086191-5;Ana Silva;NO;Cabaña 3;Santiago Centro;600000;0;;11/6/25;NO;
;3/10/25;3/10/25 22:00;3/10/25 23:00;ejecutada;10216723-6;Juan Perez;NO;Cancha Futbolito Aire Libre;Santa Cruz;25000;25000;efectivo;2/10/25;NO;
;9/6/25;9/6/25 17:00;9/6/25 18:00;ejecutada;12592948-6;Ana Silva;SI;Cancha Futbolito Aire Libre;La Florida;25000;25000;tarjeta;6/6/25;NO;
;01/03/25;01/03/25;02/03/25;reservada;12887828-9;Maria Gonzalez;NO;Cabaña 3;Providencia;120000;0;;26/2/25;NO;
;06/01/25;06/01/25;16/01/25;ejecutada;8991172-9;Juan Perez;NO;Cabaña 5;Santiago Centro;1200000;1200000;tarjeta;3/1/25;NO;
;1/4/25;1/4/25 9:00;1/4/25 10:00;cancelada;13547030-0;Ana Silva;SI;Salon Eventos 2;La Florida;100000;0;;30/3/25;SI;rut
;8/7/25;8/7/25;8/7/25 14:00;cancelada;23046980-0;Luis Contreras;SI;Cancha Tenis Aire Libre;Providencia;25000;0;;4/7/25;SI;rut/fecha
;17/6/25;17/6/25 14:00;17/6/25 15:00;ejecutada;7500349-8;Pedro Rojas;NO;Salon Eventos 4;La Florida;100000;100000;efectivo;13/6/25;NO;
;10/07/25;10/07/25;20/07/25;cancelada;20642956-9;Ana Silva;NO;Cabaña 3;Providencia;1200000;0;;9/7/25;NO;
;06/10/25;06/10/25;15/10/25;ejecutada;20229991-1;Ana Silva;SI;Cabaña 3;Providencia;1080000;1080000;transferencia;1/10/25;NO;
;04/06/25;04/06/25;07/06/25;cancelada;22156789-7;Luis Contreras;NO;Cabaña 12;Santiago Centro;360000;0;;31/5/25;NO;
;09/11/25;09/11/25;19/11/25;cancelada;24949712-6;Luis Contreras;SI;Cabaña 10;Santa Cruz;1200000;0;transferencia;7/11/25;SI;medio de pago
;10/7/25;10/7/25 21:00;10/7/25 22:00;ejecutada;15804334-3;Luis Contreras;SI;Cancha Futbolito Techada;Providencia;35000;35000;transferencia;8/7/25;NO;
;6/6/25;6/6/25;6/6/25 9:00;ejecutada;9706683-3;Ana Silva;SI;Cancha Futbolito Techada X;Santiago Centro;35000;35000;transferencia;6/6/25;SI;referencia/fecha
;10/12/25;10/12/25;11/12/25;reservada;22156789-7;Luis Contreras;NO;Cabaña 7;Santiago Centro;120000;0;;5/12/25;NO;
;18/04/25;18/04/25;23/04/25;ejecutada;13734270-7;Luis Contreras;NO;Cabaña 13;La Florida;600000;600000;efectivo;14/4/25;NO;
;19/07/25;19/07/25;29/07/25;reservada;10645717-4;Pedro Rojas;NO;Cabaña 2;Providencia;1200000;0;;15/7/25;NO;
;09/04/25;09/04/25;12/04/25;cancelada;19443419-7;Pedro Rojas;NO;Cabaña 16;Santiago Centro;360000;0;;7/4/25;NO;
;12/11/25;12/11/25 8:00;12/11/25 9:00;ejecutada;13981951-9;Ana Silva;NO;Cancha Futbolito Techada;Santa Cruz;35000;35000;efectivo;11/11/25;NO;
;8/6/25;8/6/25 15:00;8/6/25 16:00;cancelada;9269949-8;Ana Silva;NO;Cancha Padel Aire Libre;Santa Cruz;25000;0;;4/6/25;NO;
;01/12/25;01/12/25;10/12/25;cancelada;19208091-6;Maria Gonzalez;NO;Cabaña 16;La Florida;1080000;0;;29/11/25;NO;
;12/08/25;12/08/25;16/08/25;ejecutada;19443419-7;Pedro Rojas;NO;Cabaña 18;Providencia;480000;480000;transferencia;11/8/25;NO;
;15/03/25;15/03/25;17/03/25;reservada;10216723-6;Juan Perez;NO;Cabaña 6;Santiago Centro;240000;0;;14/3/25;NO;
;14/08/25;14/08/25;16/08/25;cancelada;21351051-7;Ana Silva;NO;Cabaña 11;Santa Cruz;240000;0;;11/8/25;NO;
;01/10/25;01/10/25;03/10/25;ejecutada;15916589-2;Luis Contreras;NO;Cabaña 20;Santiago Centro;240000;240000;transferencia;30/9/25;NO;
;13/09/25;13/09/25;17/09/25;ejecutada;15499152-2;Maria Gonzalez;NO;Cabaña 8;La Florida;480000;480000;tarjeta;12/9/25;NO;
;06/01/25;06/01/25;10/01/25;cancelada;22307110-4;Luis Contreras;SI;Cabaña 2;Providencia;480000;0;;5/1/25;NO;
;11/07/25;11/07/25;15/07/25;ejecutada;20194778-2;Ana Silva;SI;Cabaña 7;Santa Cruz;480000;480000;transferencia;11/7/25;NO;
;17/9/25;17/9/25 9:00;17/9/25 10:00;reservada;9203394-5;Luis Contreras;SI;Piscina 2;Santa Cruz;20000;0;;14/9/25;NO;
;3/6/25;3/6/25;3/6/25 18:00;cancelada;11483413-0;Ana Silva;SI;Salon Eventos 4;Santa Cruz;100000;0;;2/6/25;SI;fecha
;04/05/25;04/05/25;12/05/25;cancelada;10645717-4;Pedro Rojas;SI;Cabaña 11;Santa Cruz;960000;0;;30/4/25;NO;
;07/11/25;07/11/25;08/11/25;ejecutada;16012079-7;Ana Silva;SI;Cabaña 3;Santiago Centro;120000;120000;tarjeta;2/11/25;NO;
;15/1/25;15/1/25 11:00;15/1/25 12:00;reservada;6858349-7;Luis Contreras;NO;Cancha Basquetbol Aire Libre;La Florida;25000;0;;13/1/25;NO;
;05/12/25;05/12/25;11/12/25;reservada;5983819-9;Ana Silva;NO;Cabaña 12;La Florida;720000;0;;5/12/25;NO;
;14/5/25;14/5/25 19:00;14/5/25 20:00;cancelada;5204506-1;Ana Silva;SI;Salon Eventos 3;Providencia;100000;0;;11/5/25;NO;
;15/10/25;15/10/25 17:00;15/10/25 18:00;ejecutada;8442882-5;Ana Silva;NO;Salon Eventos 3;Providencia;100000;100000;tarjeta;13/10/25;NO;
;12/12/25;12/12/25 22:00;12/12/25 23:00;cancelada;15047491-4;Ana Silva;NO;Cancha Padel Techada;Santiago Centro;35000;0;;10/12/25;NO;
;14/6/25;14/6/25 17:00;14/6/25 18:00;ejecutada;17623443-1;Maria Gonzalez;SI;Piscina 1;Santa Cruz;20000;20000;transferencia;12/6/25;NO;
;15/10/25;15/10/25 18:00;15/10/25 19:00;ejecutada;16825005-3;Ana Silva;SI;Piscina 1;Santa Cruz;20000;20000;efectivo;11/10/25;NO;
;07/11/25;07/11/25;17/11/25;cancelada;24639890-9;Luis Contreras;SI;Cabaña 15;Santiago Centro;1200000;0;;4/11/25;SI;
;01/01/25;01/01/25;08/01/25;ejecutada;12013508-2;Ana Silva;NO;Cabaña 13;Santa Cruz;840000;840000;tarjeta;28/12/24;NO;
;02/10/25;02/10/25;/05/25;cancelada;6642396-4;Maria Gonzalez;SI;Cabaña 2;Santiago Centro;840000;0;;29/9/25;SI;fecha
;2/1/25;2/1/25 20:00;2/1/25 21:00;reservada;13650113-5;Pedro Rojas;NO;Cancha Futbolito Techada;Santiago Centro;35000;0;;1/1/25;NO;
;10/10/25;10/10/25 17:00;10/10/25 18:00;ejecutada;18565989-5;Luis Contreras;NO;Cancha Basquetbol Aire Libre;Providencia;25000;25000;tarjeta;7/10/25;NO;
;7/2/25;7/2/25 12:00;7/2/25 13:00;reservada;6951223-2;Maria Gonzalez;SI;Piscina 2;La Florida;20000;0;;6/2/25;SI;
;09/07/25;09/07/25;15/07/25;ejecutada;8267419-5;Pedro Rojas;NO;Cabaña 15;Santa Cruz;720000;720000;tarjeta;9/7/25;SI;
;5/8/25;5/8/25 22:00;5/8/25 23:00;cancelada;13203913-5;Maria Gonzalez;SI;Cancha Futbolito Techada;Santiago Centro;35000;0;;31/7/25;NO;
;11/01/25;11/01/25;19/01/25;ejecutada;9087517-5;Pedro Rojas;SI;Cabaña 2;Santa Cruz;960000;960000;transferencia;6/1/25;NO;
;20/1/25;20/1/25 18:00;20/1/25 19:00;cancelada;6504014-K;Luis Contreras;SI;Cancha Tenis Techada;Santa Cruz;35000;0;;18/1/25;NO;
;9/8/25;9/8/25 17:00;9/8/25 18:00;ejecutada;13288053-0;Luis Contreras;NO;Salon Eventos 4;Santiago Centro;100000;100000;tarjeta;9/8/25;SI;
;20/4/25;20/4/25 15:00;20/4/25 16:00;cancelada;19197001-2;Ana Silva;SI;Cancha Tenis Techada;La Florida;35000;0;;15/4/25;NO;
;18/5/25;18/5/25 9:00;18/5/25 10:00;reservada;22388037-1;Luis Contreras;SI;Cancha Basquetbol Aire Libre X;Providencia;25000;0;;18/5/25;SI;referencia
;7/1/25;7/1/25 22:00;7/1/25 23:00;reservada;6126625-9;Maria Gonzalez;NO;Piscina 2;Santiago Centro;20000;0;;4/1/25;NO;
;03/10/25;03/10/25;05/10/25;reservada;5475559-7;Luis Contreras;NO;Cabaña 9;Santa Cruz;240000;0;;30/9/25;NO;
;18/8/25;18/8/25 8:00;18/8/25 9:00;cancelada;16257735-2;Maria Gonzalez;NO;Cancha Padel Aire Libre;Providencia;25000;0;;13/8/25;NO;
;5/1/25;5/1/25 22:00;5/1/25 23:00;cancelada;17049622-1;Pedro Rojas;NO;Cancha Tenis Techada;Providencia;35000;0;;31/12/24;NO;
;4/6/25;4/6/25 15:00;4/6/25 16:00;reservada;7997541-9;Ana Silva;SI;Piscina 1;Santiago Centro;20000;0;;4/6/25;SI;
;18/10/25;18/10/25;19/10/25;reservada;15600733-1;Luis Contreras;SI;Cabaña 17;Santiago Centro;120000;0;;16/10/25;NO;
;18/01/25;18/01/25;23/01/25;cancelada;17877832-3;Pedro Rojas;SI;Cabaña 19;Santa Cruz;600000;0;;18/1/25;NO;
;9/2/25;9/2/25 20:00;9/2/25 21:00;reservada;17623443-1;Maria Gonzalez;NO;Cancha Futbolito Aire Libre;Santa Cruz;25000;0;;4/2/25;NO;
;8/12/25;8/12/25 19:00;8/12/25 20:00;cancelada;21217431-9;Juan Perez;NO;Restaurant 2;Santiago Centro;30000;0;;3/12/25;NO;
;11/08/25;11/08/25;16/08/25;cancelada;15115625-8;Juan Perez;SI;Cabaña 13;Providencia;600000;0;;9/8/25;NO;
;06/06/25;06/06/25;10/06/25;reservada;9087517-5;Pedro Rojas;SI;Cabaña 8;Santiago Centro;480000;0;;4/6/25;NO;
;9/1/25;9/1/25 12:00;9/1/25 13:00;cancelada;11450455-6;Luis Contreras;SI;Salon Eventos 2;Santa Cruz;100000;0;;4/1/25;NO;
;04/05/25;04/05/25;13/05/25;ejecutada;13505604-9;Ana Silva;NO;Cabaña 5;Santiago Centro;1080000;1080000;transferencia;1/5/25;NO;
;2/10/25;2/10/25 9:00;2/10/25 10:00;reservada;6504014-K;Luis Contreras;SI;Cancha Futbolito Aire Libre;La Florida;25000;0;;28/9/25;NO;
;19/02/25;19/02/25;24/02/25;cancelada;5135966-6;Pedro Rojas;SI;Cabaña 5;Santiago Centro;600000;0;;19/2/25;NO;
;02/08/25;02/08/25;05/08/25;ejecutada;22110547-8;Maria Gonzalez;SI;Cabaña 20;Santa Cruz;360000;360000;efectivo;29/7/25;NO;
;01/03/25;01/03/25;10/03/25;cancelada;15954986-0;Maria Gonzalez;NO;Cabaña 11;Providencia;1080000;0;;26/2/25;NO;
;19/1/25;19/1/25 14:00;19/1/25 15:00;ejecutada;6085414-9;Maria Gonzalez;NO;Cancha Padel Techada;Santiago Centro;35000;35000;transferencia;18/1/25;NO;
;06/10/25;06/10/25;10/10/25;reservada;7479790-3;Luis Contreras;NO;Cabaña 12;Santiago Centro;480000;0;;4/10/25;NO;
;16/06/25;16/06/25;21/06/25;ejecutada;23939713-1;Pedro Rojas;SI;Cabaña 2 X;La Florida;600000;600000;efectivo;11/6/25;SI;referencia
;13/7/25;13/7/25 22:00;13/7/25 23:00;reservada;13914038-9;Luis Contreras;SI;Cancha Tenis Aire Libre;Santiago Centro;25000;0;;9/7/25;SI;
;09/01/25;09/01/25;11/01/25;cancelada;18754494-7;Maria Gonzalez;SI;Cabaña 8;La Florida;240000;0;;9/1/25;NO;
;16/9/25;16/9/25 14:00;16/9/25 15:00;reservada;17914991-5;Maria Gonzalez;SI;Piscina 1;Providencia;20000;0;;12/9/25;NO;
;17/09/25;17/09/25;26/09/25;cancelada;19652678-1;Juan Perez;SI;Cabaña 14;Providencia;1080000;0;;17/9/25;NO;
;31/02/25;02/03/25;08/03/25;cancelada;16825005-5;Ana Silva;NO;Cabaña 3;Santiago Centro;720000;0;;1/3/25;SI;rut/fecha
;17/12/25;17/12/25 10:00;17/12/25 11:00;cancelada;18053720-1;Ana Silva;SI;Cancha Tenis Techada;Santa Cruz;35000;0;;14/12/25;NO;
;08/11/25;08/11/25;09/11/25;cancelada;19544570-2;Maria Gonzalez;SI;Cabaña 14 X;Santiago Centro;120000;0;;7/11/25;SI;referencia
;09/11/25;09/11/25;17/11/25;cancelada;12341381-4;Luis Contreras;NO;Cabaña 6;Santa Cruz;960000;0;;4/11/25;NO;
;20/03/25;20/03/25;22/03/25;reservada;18646254-8;Pedro Rojas;NO;Cabaña 2;La Florida;240000;0;;20/3/25;NO;
;15/07/25;15/07/25;25/07/25;ejecutada;14756759-6;Juan;SI;Cabaña 3;Santa Cruz;1200000;1200000;transferencia;13/7/25;SI;nombre
;3/11/25;3/11/25 11:00;3/11/25 12:00;reservada;12875377-K;Maria Gonzalez;NO;Cancha Tenis Aire Libre;Providencia;25000;0;;3/11/25;NO;
;06/11/25;06/11/25;12/11/25;ejecutada;12922397-9;Maria Gonzalez;SI;Cabaña 10;Santa Cruz;720000;720000;tarjeta;3/11/25;NO;
;18/4/25;18/4/25 12:00;18/4/25 13:00;ejecutada;20914133-9;Juan Perez;NO;Salon Eventos 1;Santiago Centro;100000;100000;transferencia;16/4/25;SI;rut
;9/6/25;9/6/25 18:00;9/6/25 19:00;cancelada;11374837-0;Maria Gonzalez;NO;Salon Eventos 3;Providencia;100000;0;;9/6/25;NO;
;17/08/25;17/08/25;23/08/25;ejecutada;16657576-1;Luis Contreras;SI;Cabaña 16;Providencia;720000;720000;efectivo;15/8/25;NO;
;12/10/25;12/10/25 10:00;12/10/25 11:00;ejecutada;23021174-4;Maria Gonzalez;NO;Salon Eventos 1;La Florida;100000;100000;transferencia;10/10/25;NO;
;4/6/25;4/6/25 11:00;4/6/25 12:00;ejecutada;20078438-3;Ana Silva;SI;Cancha Basquetbol Techada;Santa Cruz;35000;35000;efectivo;31/5/25;NO;
;16/10/25;16/10/25 20:00;16/10/25 21:00;cancelada;6626889-6;Pedro Rojas;SI;Cancha Tenis Techada;Providencia;35000;0;;16/10/25;NO;
;19/1/25;19/1/25 14:00;19/1/25 15:00;reservada;12080481-2;Maria Gonzalez;NO;Restaurant 2;Santiago Centro;30000;0;;15/1/25;NO;
;4/6/25;4/6/25 20:00;4/6/25 21:00;ejecutada;7206185-3;Luis Contreras;SI;Piscina 2;Providencia;20000;20000;efectivo;30/5/25;NO;
;16/12/25;16/12/25;22/12/25;cancelada;21349217-9;Luis Contreras;SI;Cabaña 15;La Florida;720000;0;;12/12/25;NO;
;01/09/25;01/09/25;11/09/25;reservada;19362869-9;Luis Contreras;SI;Cabaña 9;Providencia;1200000;0;;1/9/25;NO;
;11/12/25;11/12/25;14/12/25;reservada;11738535-3;Maria Gonzalez;SI;Cabaña 12;Providencia;360000;0;;11/12/25;SI;
;16/11/25;16/11/25 10:00;16/11/25 11:00;cancelada;11247006-9;Luis Contreras;NO;Restaurant 2;Providencia;30000;0;;11/11/25;NO;
;01/09/25;01/09/25;03/09/25;ejecutada;15790934-7;Maria Gonzalez;SI;Cabaña 19;Santa Cruz;240000;240000;efectivo;27/8/25;NO;
;16/05/25;16/05/25;25/05/25;cancelada;10701917-0;Pedro Rojas;SI;Cabaña 11;Santiago Centro;1080000;0;;11/5/25;NO;
;14/4/25;14/4/25 21:00;14/4/25 22:00;reservada;17133976-6;Juan Perez;NO;Cancha Basquetbol Aire Libre;Santa Cruz;25000;0;;11/4/25;NO;
;20/2/25;20/2/25 21:00;20/2/25 22:00;cancelada;21178138-6;Ana Silva;NO;Restaurant 2;La Florida;30000;0;;15/2/25;NO;
;16/01/25;16/01/25;23/01/25;reservada;15819975-0;Pedro Rojas;SI;Cabaña 11;Santiago Centro;840000;0;;16/1/25;NO;
;11/09/25;11/09/25;12/09/25;reservada;16288155-8;Ana Silva;NO;Cabaña 7;Santa Cruz;120000;0;;9/9/25;NO;
